CHR	START	END	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL	location
chr1	1615558	1616226	32.0670625212172	4.23493208515765	2.92155123630255	1.44954914106428	NA	NA	MIB2	Promoter
chr1	1946784	1947205	56.4562912695164	-1.50213702219746	3.41620532582596	-0.439709232592534	0.660147714832073	1	TMEM52	Exon
chr1	2043410	2044074	14.752064105566	-0.654241456173927	3.68733785756847	-0.177429213553366	0.859171262239043	1	LOC105378590	Intron
chr1	2132768	2133273	59.3563548169555	8.60412528331034	3.60213191765911	2.38862026155384	NA	NA	PRKCZ-AS1	Intron
chr1	2655754	2656366	28.7435283793052	18.7262360254981	3.8435497440391	4.87212011618694	NA	NA	LOC105378598	Intron
chr1	3286187	3286940	34.6871954428285	1.81754737957811	3.70475360890623	0.490598720305912	NA	NA	LOC105378604	Intron
chr1	3856768	3857210	18.514304501094	-5.63884118967484	2.89832782568762	-1.94554982348729	NA	NA	DFFB	Promoter
chr1	3866327	3866938	83.1885258053362	2.87925738518898	3.09824423724551	0.929319048051803	NA	NA	CEP104	UTR
chr1	3938235	3939005	22.0407814444665	1.27043934318402	3.98862574073261	0.318515555423025	0.750093897071554	1	LINC01346	Promoter
chr1	4157746	4158294	30.7210645310735	8.19683608082744	4.24805617368603	1.92954983307461	NA	NA	LINC02780	Intergenic
chr1	5378020	5378608	70.9478433077687	7.48265532395419	2.75669799440668	2.71435439759322	NA	NA	LOC105376686	Intergenic
chr1	5727817	5728008	20.0284901812205	6.39756821664142	3.20423843312328	1.99659555621942	NA	NA	LOC124903830	Intron
chr1	6348807	6349434	12.8065856437185	-6.02246201890397	3.13598221299288	-1.92043883219488	0.0548024924895446	0.128927917945752	ACOT7	Intron
chr1	6784639	6785243	139.92908649155	1.36632598501006	2.83709279175442	0.481593689491257	NA	NA	CAMTA1-DT	Promoter
chr1	7066570	7067121	37.7980170721166	-15.2008569984173	4.16828996696098	-3.64678492113157	NA	NA	CAMTA1-AS3	Intron
chr1	7460158	7460781	37.9671933419519	-0.65420934591071	3.6812669026726	-0.177713098019531	0.858948298259315	1	CAMTA1-AS1	Intron
chr1	8025829	8026258	14.5847913071782	1.28766861458318	3.41063540534555	0.377545079302524	0.705768570252639	1	ERRFI1	Promoter
chr1	8878884	8879492	13.9042964639619	-6.13137322933536	3.12782620158636	-1.96026659864467	NA	NA	ENO1	Promoter
chr1	10461197	10461611	36.1207815682565	0.546244791087071	3.2553295494733	0.167800151347335	NA	NA	PEX14	UTR
chr1	10610403	10610867	23.772821393827	-18.6164764216676	4.26499633307673	-4.36494546953991	NA	NA	DFFA	Intron
chr1	12316556	12317354	3.30264735581987	-3.32280562575275	4.26546146681901	-0.779002612402157	0.435978175866787	NA	NA	NA
chr1	12375858	12376487	12.4307928392955	-5.53999963409855	4.2510194373623	-1.30321672618275	NA	NA	LOC124903845	Intron
chr1	12763019	12763585	88.4963313673061	7.53365375284275	3.736897124682	2.016018504519	NA	NA	PRAMEF12	UTR
chr1	13848233	13848744	48.3589701087378	0.745309520087539	3.30543562496537	0.225479968346183	NA	NA	KAZN	Intron
chr1	14885477	14885795	44.9086438468213	7.30170853669227	3.18884865918007	2.28976327103893	NA	NA	LOC107985469	Intron
chr1	15747196	15748176	118.052536276331	2.86974633145583	3.11282569660234	0.921910383414069	NA	NA	SLC25A34-AS1	Promoter
chr1	16156634	16157391	82.9270851414239	-8.20644288415999	3.75325316513228	-2.18648796739795	NA	NA	EPHA2	Promoter
chr1	16484537	16485437	29.1733298742718	-6.79339294282106	2.7843270760267	-2.43986886501689	0.0146925942809061	0.0572445309794465	NA	NA
chr1	16609827	16610387	26.9472992889363	-8.9109956187688	3.7695242127577	-2.36395765508287	NA	NA	NA	NA
chr1	16643224	16644152	31.8636954073076	-5.22347439378004	3.23208513212799	-1.61613143845036	NA	NA	NA	NA
chr1	17156042	17156577	11.9102647250044	-7.8366832067298	3.82007715179459	-2.05144631779185	NA	NA	SDHB	Intergenic
chr1	19256006	19256560	31.8040479050638	-4.57692413159463	4.10604661218988	-1.11467904870023	NA	NA	MRTO4	Exon
chr1	19284205	19284863	23.1678248250849	-7.89650819420146	3.38840426550979	-2.33045043490801	NA	NA	AKR7A3	Exon
chr1	19376769	19377022	48.3487780661406	7.40205951525268	2.66124073480356	2.78143176543518	NA	NA	LOC124903868	UTR
chr1	19689953	19690584	14.1793706516798	-8.17508838923276	4.21015541033663	-1.94175454168784	NA	NA	HTR6	Intron
chr1	20043787	20044231	33.7099290082491	-2.1374792043865	3.54212526908989	-0.603445401279019	0.546212426838973	0.984661473527897	PLA2G5	Intron
chr1	20651514	20652355	7.05328024641533	0	4.40735632392327	0	1	1	PINK1-AS	Promoter
chr1	20999944	21000287	36.0593847906177	-7.34605981719223	3.61609159848055	-2.03149163043297	NA	NA	MIR1256	Intron
chr1	21613048	21613791	13.4204660968763	-0.653096374562816	4.28959697483406	-0.152251220428017	0.878988796752066	1	LINC02596	Exon
chr1	22184667	22186087	21.5387916272872	-8.59796222790718	4.04548636765622	-2.12532225955527	NA	NA	LOC105376850	Exon
chr1	22331679	22332062	47.0267181787023	-23.2384976374865	4.24765667628469	-5.47089828780903	NA	NA	MIR4418	Intergenic
chr1	22678135	22678527	92.2605292488742	-20.8761688241415	4.20281793524431	-4.96718371954125	NA	NA	C1QB	Intergenic
chr1	22801450	22801964	53.3909688374336	-0.307652956073458	2.9367136673782	-0.104760964438226	0.916565485416463	1	MIR4253	Intron
chr1	24125027	24125443	101.789080467091	-1.50402942048972	3.14111713769296	-0.478819908510122	0.632066752362735	1	MYOM3	Intron
chr1	26857518	26857724	77.142440487816	-0.543093117270838	3.03800867646582	-0.178766150827005	NA	NA	SFN	UTR
chr1	26907107	26907807	47.3194343843064	7.32109612793441	4.19947821027468	1.74333471001759	NA	NA	NR0B2	Intron
chr1	27199517	27200557	128.878925030463	7.23640832838758	2.84247741621215	2.54581031571773	NA	NA	SLC9A1	Intergenic
chr1	27914198	27914539	101.178840605929	8.95934384119578	3.34543477237573	2.67808056375088	NA	NA	RPA2	Promoter
chr1	27917456	27918507	63.5145179010201	8.09778514503592	3.24002514106428	2.49929700927443	NA	NA	NA	NA
chr1	28684066	28684738	30.9588139152707	4.66930555027265	3.90182768042237	1.19669701809261	NA	NA	LOC124904809	Intron
chr1	28729121	28729671	26.803315585117	0.598928337944265	3.40817410229838	0.175732905645978	NA	NA	YTHDF2	Intergenic
chr1	29195945	29196739	5.09061070310866	0	4.40735632392357	0	1	NA	SRSF4	UTR
chr1	29340374	29341286	21.7111539255346	-7.82387711216123	3.74680910105346	-2.08814404501191	0.0367848429654475	0.0972249842195009	LINC01756	Intron
chr1	30165602	30165900	115.98454353204	-15.0717831227829	3.80484117167404	-3.96121216175539	NA	NA	LOC105378618	Intergenic
chr1	30267297	30267746	26.3253824311582	-3.60600055534499	3.8146891248758	-0.945293426882431	NA	NA	NA	NA
chr1	30303602	30304093	59.8536844794444	-7.48043251028406	3.42197967506363	-2.1859955992126	NA	NA	NA	NA
chr1	30610767	30611341	32.6554652578533	0	4.15389701864371	0	1	1	LOC124903888	Intergenic
chr1	30716746	30717356	53.8641549580749	-6.62374220271562	3.66603986519288	-1.80678400843498	NA	NA	MATN1-AS1	Promoter
chr1	31043789	31044485	62.7206463338841	13.4394598812091	3.94015798768017	3.41089365533837	NA	NA	PUM1	Intron
chr1	31572581	31572987	35.4277356529054	-21.5088126533532	4.24916632489039	-5.0618900294302	NA	NA	TINAGL1	Intron
